utc,close,high,low,open,vol
7/1/17 0:00,2435.05,2451.46,2433.69,2450.75,1963.88
7/1/17 1:00,2457.83,2458.17,2434.22,2435.05,1774.73
7/1/17 2:00,2459.86,2467.48,2453.33,2457.83,2009.56
7/1/17 3:00,2502.92,2513.74,2459.38,2459.86,2415.14
7/1/17 4:00,2520.49,2529.62,2500.14,2502.92,2009.13
7/1/17 5:00,2516.61,2527.21,2515,2520.49,1237.43
7/1/17 6:00,2514.33,2522.89,2503.89,2516.61,1880.59
7/1/17 7:00,2518.5,2519.02,2508.07,2514.33,1236.16
7/1/17 8:00,2519.36,2520.24,2512.88,2518.5,1458.59
7/1/17 9:00,2508.18,2520.12,2505.87,2519.36,1565.77
7/1/17 10:00,2474.37,2508.39,2471.13,2508.18,2840.45
7/1/17 11:00,2473.82,2487.04,2467.53,2474.37,3193.43
7/1/17 12:00,2462.02,2474.27,2457.49,2473.82,2037.14
7/1/17 13:00,2475.35,2476.3,2448.33,2462.02,1972.38
7/1/17 14:00,2442.42,2475.94,2442.09,2475.35,3323.95
7/1/17 15:00,2418.35,2449.88,2410.04,2442.42,5022.53
7/1/17 16:00,2444.44,2446.14,2416.63,2418.35,4703.92
7/1/17 17:00,2402.9,2446.48,2402.9,2444.44,4800.8
7/1/17 18:00,2413.9,2423.59,2387.47,2402.9,5836.86
7/1/17 19:00,2423.58,2425.98,2392.82,2413.9,3031.15
7/1/17 20:00,2424.61,2429.99,2415.57,2423.58,2899.89
7/1/17 21:00,2380.4,2426.21,2375.86,2424.61,3285.92
7/1/17 22:00,2408.21,2417.65,2378.59,2380.4,2648.25
7/1/17 23:00,2403.44,2409.26,2384.76,2408.21,3874.69
7/2/17 0:00,2408.46,2412.19,2399.12,2403.44,2677.44
7/2/17 1:00,2412.7,2413.21,2398.4,2408.46,2414.27
7/2/17 2:00,2446.9,2449.58,2412.7,2412.7,3237.3
7/2/17 3:00,2424.85,2449.51,2421.72,2446.9,1483.09
7/2/17 4:00,2445.19,2445.19,2423.53,2424.85,1935.41
7/2/17 5:00,2464.24,2464.41,2442.63,2445.19,3166.43
7/2/17 6:00,2458.91,2469.61,2455.43,2464.24,2315.15
7/2/17 7:00,2447.58,2462.14,2444.82,2458.91,1362.28
7/2/17 8:00,2460.25,2462.17,2440.19,2447.58,1587.35
7/2/17 9:00,2446.04,2462.4,2443.34,2460.25,1427.57
7/2/17 10:00,2443.07,2453.02,2436.77,2446.04,2390.43
7/2/17 11:00,2450.95,2452.08,2441.18,2443.07,1625.64
7/2/17 12:00,2474.11,2475.17,2450.95,2450.95,3258.41
7/2/17 13:00,2481.05,2487.48,2474.11,2474.11,2903.65
7/2/17 14:00,2502.76,2504.75,2481.05,2481.05,4699.23
7/2/17 15:00,2502.86,2520.17,2501.32,2502.76,5203.58
7/2/17 16:00,2510.39,2515.78,2497.83,2502.86,2628.59
7/2/17 17:00,2516.58,2517.8,2504.72,2510.39,1699.4
7/2/17 18:00,2540.67,2540.67,2516.58,2516.58,4227.43
7/2/17 19:00,2535.09,2544.1,2525.42,2540.67,3858.79
7/2/17 20:00,2536.46,2555.34,2530.81,2535.09,3847
7/2/17 21:00,2521.24,2542.22,2518.1,2536.46,2578.49
7/2/17 22:00,2530.96,2533.3,2518.31,2521.24,2082.53
7/2/17 23:00,2518.6,2533.26,2517.41,2530.96,1675.7
7/3/17 0:00,2513.86,2522.41,2510.04,2518.6,1822.95
7/3/17 1:00,2530.86,2532.28,2512.02,2513.86,2800.59
7/3/17 2:00,2523.55,2532.61,2512.01,2530.86,3255.3
7/3/17 3:00,2526.38,2527.58,2520.11,2523.55,1694.4
7/3/17 4:00,2507.31,2529.82,2506.3,2526.38,2508.47
7/3/17 5:00,2510.71,2516.16,2506.69,2507.31,1540.55
7/3/17 6:00,2514.05,2515.25,2508.24,2510.71,2012.64
7/3/17 7:00,2518.78,2522.09,2508.14,2514.05,1963.23
7/3/17 8:00,2532.77,2534,2512.78,2518.78,3704.24
7/3/17 9:00,2554.72,2559.35,2532.32,2532.77,5469.71
7/3/17 10:00,2599.88,2610.39,2552.97,2554.72,11688.24
7/3/17 11:00,2585.34,2617.48,2579.82,2599.88,7792.98
7/3/17 12:00,2601.29,2602.63,2579.92,2585.34,4311.18
7/3/17 13:00,2587.98,2604.57,2583.84,2601.29,3932
7/3/17 14:00,2579.6,2589.22,2578.15,2587.98,2492.94
7/3/17 15:00,2560.87,2580.35,2557.74,2579.6,3331.84
7/3/17 16:00,2578.44,2579.59,2557.79,2560.87,3628.77
7/3/17 17:00,2585.22,2590.4,2577.05,2578.44,3600.32
7/3/17 18:00,2597.19,2598.92,2582.51,2585.22,2896.35
7/3/17 19:00,2589.25,2603.62,2588.9,2597.19,4102.74
7/3/17 20:00,2572.47,2591.19,2570.24,2589.25,2531.99
7/3/17 21:00,2591.97,2593.45,2569.99,2572.47,1848.45
7/3/17 22:00,2598.1,2599.5,2590.67,2591.97,2114.06
7/3/17 23:00,2631.27,2635.13,2597.49,2598.1,6733.75
7/4/17 0:00,2632.09,2647.05,2626.37,2631.27,6190.71
7/4/17 1:00,2640.09,2641.19,2627.16,2632.09,3002.28
7/4/17 2:00,2647.37,2655.22,2635.84,2640.09,3436.71
7/4/17 3:00,2651.66,2652.09,2639.93,2647.37,2534.29
7/4/17 4:00,2655.31,2658.73,2649.47,2651.66,2787.71
7/4/17 5:00,2625.69,2655.34,2625.25,2655.31,3689.12
7/4/17 6:00,2634.95,2638.46,2623.32,2625.69,2474.61
7/4/17 7:00,2625.94,2635.13,2613.09,2634.95,2193.02
7/4/17 8:00,2636.53,2636.82,2625.02,2625.94,2395.84
7/4/17 9:00,2635.14,2645.67,2633.24,2636.53,2616.59
7/4/17 10:00,2634.96,2644.23,2632.45,2635.14,3000.94
7/4/17 11:00,2629.71,2642.43,2627.76,2634.96,3940.87
7/4/17 12:00,2605.56,2630.85,2596.11,2629.71,6227.52
7/4/17 13:00,2583.77,2605.56,2576.25,2605.56,6553.54
7/4/17 14:00,2606.21,2606.93,2582.86,2583.77,3374.37
7/4/17 15:00,2599.42,2608.75,2590.51,2606.21,2232.86
7/4/17 16:00,2582.35,2601.04,2581.15,2599.42,2939.2
7/4/17 17:00,2593.05,2600,2577.75,2582.35,2483.77
7/4/17 18:00,2598.16,2604.41,2590.19,2593.05,2260.29
7/4/17 19:00,2610.55,2610.97,2597.79,2598.16,2323.79
7/4/17 20:00,2617.32,2621.2,2607.63,2610.55,3320.78
7/4/17 21:00,2588.2,2617.51,2585.37,2617.32,4885.62
7/4/17 22:00,2587.32,2598.64,2584.72,2588.2,3664.16
7/4/17 23:00,2586.78,2589.91,2578.71,2587.32,3341.58
