utc,close,high,low,open,time,vol
2016-10-03 19:00:00,3.82,3.83,3.81,3.83,1475532000,1950.19
2016-10-03 20:00:00,3.83,3.84,3.83,3.82,1475535600,669.81
2016-10-03 21:00:00,3.83,3.84,3.83,3.83,1475539200,779.62
2016-10-03 22:00:00,3.84,3.84,3.83,3.83,1475542800,1151.48
2016-10-03 23:00:00,3.83,3.83,3.83,3.84,1475546400,768.2
2016-10-04 00:00:00,3.82,3.83,3.82,3.83,1475550000,4587.13
2016-10-04 01:00:00,3.81,3.82,3.81,3.82,1475553600,1638.75
2016-10-04 02:00:00,3.82,3.82,3.81,3.81,1475557200,683.51
2016-10-04 03:00:00,3.83,3.83,3.82,3.82,1475560800,993.77
2016-10-04 04:00:00,3.82,3.83,3.82,3.83,1475564400,805.87
2016-10-04 05:00:00,3.83,3.83,3.81,3.82,1475568000,1104.15
2016-10-04 06:00:00,3.82,3.82,3.81,3.83,1475571600,627.82
2016-10-04 07:00:00,3.81,3.82,3.81,3.82,1475575200,1106.25
2016-10-04 08:00:00,3.82,3.82,3.81,3.81,1475578800,669.02
2016-10-04 09:00:00,3.82,3.83,3.82,3.82,1475582400,1327.95
2016-10-04 10:00:00,3.83,3.83,3.82,3.82,1475586000,1115.43
2016-10-04 11:00:00,3.82,3.82,3.82,3.83,1475589600,679.18
2016-10-04 12:00:00,3.85,3.87,3.83,3.82,1475593200,2020.92
2016-10-04 13:00:00,3.83,3.83,3.82,3.85,1475596800,808.88
2016-10-04 14:00:00,3.82,3.82,3.82,3.83,1475600400,744.16
2016-10-04 15:00:00,3.82,3.82,3.82,3.82,1475604000,673.29
2016-10-04 16:00:00,3.82,3.83,3.82,3.82,1475607600,1395.99
2016-10-04 17:00:00,3.83,3.84,3.82,3.82,1475611200,1174.9
2016-10-04 18:00:00,3.82,3.82,3.82,3.83,1475614800,695.18
2016-10-04 19:00:00,3.82,3.83,3.82,3.82,1475618400,1052.23
2016-10-04 20:00:00,3.83,3.84,3.83,3.82,1475622000,1563.1
2016-10-04 21:00:00,3.82,3.83,3.82,3.83,1475625600,642.47
2016-10-04 22:00:00,3.82,3.83,3.82,3.82,1475629200,773.12
2016-10-04 23:00:00,3.81,3.84,3.81,3.82,1475632800,1085.18
2016-10-05 00:00:00,3.82,3.83,3.82,3.81,1475636400,713.89
2016-10-05 01:00:00,3.82,3.83,3.81,3.82,1475640000,1336.78
2016-10-05 02:00:00,3.82,3.82,3.82,3.82,1475643600,615.77
2016-10-05 03:00:00,3.83,3.84,3.81,3.82,1475647200,1126.53
2016-10-05 04:00:00,3.82,3.83,3.82,3.83,1475650800,840.33
2016-10-05 05:00:00,3.81,3.84,3.8,3.82,1475654400,1064.2
2016-10-05 06:00:00,3.82,3.83,3.82,3.81,1475658000,858.69
2016-10-05 07:00:00,3.82,3.83,3.82,3.82,1475661600,639.36
2016-10-05 08:00:00,3.82,3.83,3.82,3.82,1475665200,775.31
2016-10-05 09:00:00,3.84,3.84,3.81,3.82,1475668800,1993.63
2016-10-05 10:00:00,3.83,3.83,3.82,3.84,1475672400,3493.68
2016-10-05 11:00:00,3.84,3.84,3.83,3.83,1475676000,1488.21
2016-10-05 12:00:00,3.84,3.85,3.82,3.84,1475679600,1826.78
2016-10-05 13:00:00,3.86,3.87,3.83,3.84,1475683200,1861.52
2016-10-05 14:00:00,3.83,3.85,3.83,3.86,1475686800,645.52
2016-10-05 15:00:00,3.83,3.84,3.83,3.83,1475690400,982.2
2016-10-05 16:00:00,3.83,3.84,3.83,3.83,1475694000,988.36
2016-10-05 17:00:00,3.83,3.84,3.83,3.83,1475697600,878.18
2016-10-05 18:00:00,3.83,3.84,3.83,3.83,1475701200,982.85
2016-10-05 19:00:00,3.84,3.84,3.83,3.83,1475704800,889.23
2016-10-05 20:00:00,3.83,3.84,3.83,3.84,1475708400,1553.72
2016-10-05 21:00:00,3.84,3.84,3.83,3.83,1475712000,822.47
2016-10-05 22:00:00,3.81,3.84,3.81,3.84,1475715600,3955.55
2016-10-05 23:00:00,3.83,3.83,3.83,3.81,1475719200,800.05
2016-10-06 00:00:00,3.83,3.83,3.83,3.83,1475722800,626.01
2016-10-06 01:00:00,3.82,3.83,3.82,3.83,1475726400,747.29
2016-10-06 02:00:00,3.82,3.83,3.82,3.82,1475730000,1164.55
2016-10-06 03:00:00,3.83,3.83,3.83,3.82,1475733600,598.47
2016-10-06 04:00:00,3.83,3.83,3.83,3.83,1475737200,801.65
2016-10-06 05:00:00,3.81,3.82,3.8,3.83,1475740800,2052.91
2016-10-06 06:00:00,3.82,3.83,3.82,3.81,1475744400,1885.35
2016-10-06 07:00:00,3.83,3.83,3.82,3.82,1475748000,1237.46
2016-10-06 08:00:00,3.83,3.83,3.82,3.83,1475751600,2067.96
2016-10-06 09:00:00,3.82,3.83,3.81,3.83,1475755200,1403.53
2016-10-06 10:00:00,3.83,3.83,3.82,3.82,1475758800,1809.25
2016-10-06 11:00:00,3.83,3.83,3.83,3.83,1475762400,1366.47
2016-10-06 12:00:00,3.83,3.83,3.83,3.83,1475766000,626.9
2016-10-06 13:00:00,3.83,3.83,3.82,3.83,1475769600,1437.42
2016-10-06 14:00:00,3.83,3.83,3.83,3.83,1475773200,708.65
2016-10-06 15:00:00,3.83,3.83,3.82,3.83,1475776800,644.57
2016-10-06 16:00:00,3.83,3.83,3.82,3.83,1475780400,678.21
2016-10-06 17:00:00,3.82,3.83,3.82,3.83,1475784000,1550.33
2016-10-06 18:00:00,3.83,3.83,3.82,3.82,1475787600,914.31
2016-10-06 19:00:00,3.83,3.83,3.82,3.83,1475791200,718.0
2016-10-06 20:00:00,3.82,3.83,3.82,3.83,1475794800,539.06
2016-10-06 21:00:00,3.83,3.83,3.82,3.82,1475798400,610.23
2016-10-06 22:00:00,3.83,3.83,3.82,3.83,1475802000,645.92
2016-10-06 23:00:00,3.83,3.83,3.83,3.83,1475805600,658.1
2016-10-07 00:00:00,3.83,3.83,3.82,3.83,1475809200,1337.09
2016-10-07 01:00:00,3.83,3.83,3.82,3.83,1475812800,2139.63
2016-10-07 02:00:00,3.83,3.83,3.82,3.83,1475816400,1050.06
2016-10-07 03:00:00,3.83,3.83,3.81,3.83,1475820000,881.47
2016-10-07 04:00:00,3.83,3.84,3.83,3.83,1475823600,714.14
2016-10-07 05:00:00,3.83,3.83,3.82,3.83,1475827200,1176.01
2016-10-07 06:00:00,3.83,3.84,3.82,3.83,1475830800,2456.53
2016-10-07 07:00:00,3.82,3.83,3.82,3.83,1475834400,1939.12
2016-10-07 08:00:00,3.83,3.84,3.82,3.82,1475838000,2976.06
2016-10-07 09:00:00,3.84,3.85,3.81,3.83,1475841600,7671.37
2016-10-07 10:00:00,3.84,3.85,3.83,3.84,1475845200,4612.55
2016-10-07 11:00:00,3.84,3.85,3.83,3.84,1475848800,5461.13
2016-10-07 12:00:00,3.84,3.85,3.84,3.84,1475852400,1351.18
2016-10-07 13:00:00,3.84,3.85,3.84,3.84,1475856000,1731.13
2016-10-07 14:00:00,3.84,3.84,3.84,3.84,1475859600,1051.8
2016-10-07 15:00:00,3.84,3.84,3.84,3.84,1475863200,1410.42
2016-10-07 16:00:00,3.84,3.84,3.84,3.84,1475866800,770.29
2016-10-07 17:00:00,3.84,3.84,3.84,3.84,1475870400,839.39
2016-10-07 18:00:00,3.84,3.85,3.84,3.84,1475874000,1618.56
2016-10-07 19:00:00,3.85,3.85,3.84,3.84,1475877600,2299.77
2016-10-07 20:00:00,3.84,3.84,3.84,3.85,1475881200,557.5
2016-10-07 21:00:00,3.84,3.85,3.84,3.84,1475884800,1527.1
2016-10-07 22:00:00,3.83,3.84,3.83,3.84,1475888400,800.22
2016-10-07 23:00:00,3.84,3.85,3.84,3.83,1475892000,1263.39
2016-10-08 00:00:00,3.84,3.85,3.83,3.84,1475895600,887.4
2016-10-08 01:00:00,3.84,3.84,3.84,3.84,1475899200,1060.44
2016-10-08 02:00:00,3.84,3.84,3.84,3.84,1475902800,1899.93
2016-10-08 03:00:00,3.84,3.85,3.84,3.84,1475906400,3001.05
2016-10-08 04:00:00,3.83,3.84,3.82,3.84,1475910000,4884.86
2016-10-08 05:00:00,3.82,3.83,3.82,3.83,1475913600,797.21
2016-10-08 06:00:00,3.84,3.84,3.82,3.82,1475917200,1700.1
2016-10-08 07:00:00,3.83,3.83,3.82,3.84,1475920800,1036.42
2016-10-08 08:00:00,3.83,3.83,3.82,3.83,1475924400,1019.66
2016-10-08 09:00:00,3.82,3.83,3.82,3.83,1475928000,718.71
2016-10-08 10:00:00,3.83,3.83,3.82,3.82,1475931600,1909.65
2016-10-08 11:00:00,3.82,3.82,3.82,3.83,1475935200,729.97
2016-10-08 12:00:00,3.82,3.82,3.82,3.82,1475938800,829.06
2016-10-08 13:00:00,3.82,3.82,3.82,3.82,1475942400,640.07
2016-10-08 14:00:00,3.83,3.83,3.82,3.82,1475946000,979.63
2016-10-08 15:00:00,3.82,3.83,3.82,3.83,1475949600,1473.2
2016-10-08 16:00:00,3.82,3.82,3.82,3.82,1475953200,909.98
2016-10-08 17:00:00,3.82,3.83,3.82,3.82,1475956800,814.75
2016-10-08 18:00:00,3.82,3.82,3.82,3.82,1475960400,817.14
2016-10-08 19:00:00,3.82,3.82,3.82,3.82,1475964000,1030.92
2016-10-08 20:00:00,3.82,3.83,3.82,3.82,1475967600,730.76
2016-10-08 21:00:00,3.82,3.83,3.81,3.82,1475971200,813.0
2016-10-08 22:00:00,3.82,3.82,3.82,3.82,1475974800,716.84
2016-10-08 23:00:00,3.81,3.82,3.81,3.82,1475978400,730.77
2016-10-09 00:00:00,3.8,3.82,3.78,3.81,1475982000,2947.21
2016-10-09 01:00:00,3.79,3.81,3.78,3.8,1475985600,876.32
2016-10-09 02:00:00,3.8,3.8,3.79,3.79,1475989200,644.2
2016-10-09 03:00:00,3.8,3.81,3.8,3.8,1475992800,744.48
2016-10-09 04:00:00,3.8,3.8,3.79,3.8,1475996400,644.68
2016-10-09 05:00:00,3.8,3.8,3.79,3.8,1476000000,745.85
2016-10-09 06:00:00,3.8,3.8,3.79,3.8,1476003600,637.84
2016-10-09 07:00:00,3.8,3.81,3.8,3.8,1476007200,667.75
2016-10-09 08:00:00,3.8,3.81,3.8,3.8,1476010800,812.85
2016-10-09 09:00:00,3.8,3.81,3.8,3.8,1476014400,727.0
2016-10-09 10:00:00,3.8,3.8,3.79,3.8,1476018000,651.38
2016-10-09 11:00:00,3.8,3.8,3.8,3.8,1476021600,773.64
2016-10-09 12:00:00,3.8,3.81,3.8,3.8,1476025200,713.31
2016-10-09 13:00:00,3.8,3.8,3.79,3.8,1476028800,934.76
2016-10-09 14:00:00,3.8,3.81,3.79,3.8,1476032400,1088.66
2016-10-09 15:00:00,3.8,3.8,3.79,3.8,1476036000,705.22
2016-10-09 16:00:00,3.81,3.86,3.79,3.8,1476039600,3059.39
2016-10-09 17:00:00,3.8,3.8,3.79,3.81,1476043200,656.45
2016-10-09 18:00:00,3.79,3.8,3.79,3.8,1476046800,2626.13
2016-10-09 19:00:00,3.8,3.8,3.79,3.79,1476050400,634.8
2016-10-09 20:00:00,3.8,3.81,3.79,3.8,1476054000,692.89
2016-10-09 21:00:00,3.81,3.81,3.8,3.8,1476057600,593.19
2016-10-09 22:00:00,3.8,3.81,3.8,3.81,1476061200,1219.12
2016-10-09 23:00:00,3.81,3.82,3.8,3.8,1476064800,1602.03
2016-10-10 00:00:00,3.8,3.81,3.8,3.81,1476068400,1481.95
2016-10-10 01:00:00,3.8,3.81,3.79,3.8,1476072000,765.76
2016-10-10 02:00:00,3.79,3.8,3.79,3.8,1476075600,841.99
2016-10-10 03:00:00,3.79,3.8,3.79,3.79,1476079200,762.15
2016-10-10 04:00:00,3.8,3.8,3.78,3.79,1476082800,1577.25
2016-10-10 05:00:00,3.8,3.8,3.78,3.8,1476086400,654.19
2016-10-10 06:00:00,3.79,3.8,3.79,3.8,1476090000,1669.45
2016-10-10 07:00:00,3.79,3.8,3.78,3.79,1476093600,895.75
2016-10-10 08:00:00,3.79,3.79,3.78,3.79,1476097200,1090.74
2016-10-10 09:00:00,3.79,3.79,3.78,3.79,1476100800,778.74
2016-10-10 10:00:00,3.79,3.79,3.79,3.79,1476104400,580.03
2016-10-10 11:00:00,3.8,3.8,3.79,3.79,1476108000,1110.7
2016-10-10 12:00:00,3.77,3.8,3.74,3.8,1476111600,3474.97
2016-10-10 13:00:00,3.78,3.78,3.75,3.77,1476115200,1192.03
2016-10-10 14:00:00,3.77,3.78,3.76,3.78,1476118800,815.56
2016-10-10 15:00:00,3.77,3.78,3.76,3.77,1476122400,1521.34
2016-10-10 16:00:00,3.77,3.79,3.75,3.77,1476126000,6720.33
2016-10-10 17:00:00,3.77,3.85,3.76,3.77,1476129600,24596.44
2016-10-10 18:00:00,3.77,3.79,3.77,3.77,1476133200,1134.29
2016-10-10 19:00:00,3.78,3.78,3.76,3.77,1476136800,1166.71
2016-10-10 20:00:00,3.77,3.78,3.77,3.78,1476140400,840.07
2016-10-10 21:00:00,3.79,3.79,3.77,3.77,1476144000,2599.61
2016-10-10 22:00:00,3.78,3.79,3.78,3.79,1476147600,959.21
2016-10-10 23:00:00,3.78,3.79,3.77,3.78,1476151200,2359.7
2016-10-11 00:00:00,3.79,3.79,3.78,3.78,1476154800,1101.24
2016-10-11 01:00:00,3.83,3.84,3.78,3.79,1476158400,12821.41
2016-10-11 02:00:00,3.82,3.84,3.82,3.83,1476162000,3044.85
2016-10-11 03:00:00,3.8,3.82,3.79,3.82,1476165600,4019.85
2016-10-11 04:00:00,3.8,3.81,3.79,3.8,1476169200,2994.67
2016-10-11 05:00:00,3.82,3.82,3.8,3.8,1476172800,2138.87
2016-10-11 06:00:00,3.82,3.82,3.81,3.82,1476176400,1935.0
2016-10-11 07:00:00,3.82,3.82,3.81,3.82,1476180000,880.45
2016-10-11 08:00:00,3.82,3.83,3.81,3.82,1476183600,1931.25
2016-10-11 09:00:00,3.81,3.83,3.81,3.82,1476187200,1205.78
2016-10-11 10:00:00,3.82,3.83,3.81,3.81,1476190800,2527.54
2016-10-11 11:00:00,3.84,3.85,3.82,3.82,1476194400,4460.88
2016-10-11 12:00:00,3.83,3.84,3.82,3.84,1476198000,3371.89
2016-10-11 13:00:00,3.81,3.82,3.8,3.83,1476201600,4901.38
2016-10-11 14:00:00,3.83,3.84,3.82,3.81,1476205200,4536.63
2016-10-11 15:00:00,3.82,3.83,3.81,3.83,1476208800,2592.61
2016-10-11 16:00:00,3.82,3.83,3.81,3.82,1476212400,4422.01
2016-10-11 17:00:00,3.82,3.84,3.81,3.82,1476216000,6702.34
2016-10-11 18:00:00,3.82,3.83,3.81,3.82,1476219600,2447.67
2016-10-11 19:00:00,3.82,3.83,3.82,3.82,1476223200,1029.45
2016-10-11 20:00:00,3.81,3.84,3.8,3.82,1476226800,2725.58
2016-10-11 21:00:00,3.79,3.82,3.79,3.81,1476230400,3448.38
2016-10-11 22:00:00,3.8,3.81,3.79,3.79,1476234000,2068.65
2016-10-11 23:00:00,3.81,3.81,3.8,3.8,1476237600,1656.95
2016-10-12 00:00:00,3.8,3.81,3.8,3.81,1476241200,717.56
2016-10-12 01:00:00,3.8,3.81,3.8,3.8,1476244800,1721.52
2016-10-12 02:00:00,3.81,3.81,3.8,3.8,1476248400,678.07
2016-10-12 03:00:00,3.8,3.81,3.8,3.81,1476252000,990.16
2016-10-12 04:00:00,3.79,3.82,3.79,3.8,1476255600,2935.11
2016-10-12 05:00:00,3.81,3.81,3.79,3.79,1476259200,2883.23
2016-10-12 06:00:00,3.81,3.81,3.8,3.81,1476262800,1424.8
2016-10-12 07:00:00,3.81,3.81,3.8,3.81,1476266400,1187.65
2016-10-12 08:00:00,3.81,3.81,3.8,3.81,1476270000,1014.06
2016-10-12 09:00:00,3.81,3.81,3.8,3.81,1476273600,774.68
2016-10-12 10:00:00,3.8,3.82,3.8,3.81,1476277200,1013.98
2016-10-12 11:00:00,3.8,3.81,3.8,3.8,1476280800,856.62
2016-10-12 12:00:00,3.8,3.81,3.8,3.8,1476284400,750.19
2016-10-12 13:00:00,3.8,3.81,3.78,3.8,1476288000,3686.61
2016-10-12 14:00:00,3.8,3.81,3.78,3.8,1476291600,2955.42
2016-10-12 15:00:00,3.8,3.81,3.79,3.8,1476295200,2637.19
2016-10-12 16:00:00,3.79,3.81,3.79,3.8,1476298800,1080.58
2016-10-12 17:00:00,3.8,3.8,3.78,3.79,1476302400,1455.01
2016-10-12 18:00:00,3.8,3.8,3.79,3.8,1476306000,885.35
