date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-04-28,112372696.7,47031,1500520000,134.21,0,3750,41.6769215
2013-04-29,79509642.98,40035,1491160000,144.54,0,4200,31.67685839
2013-04-30,113413369.1,52266,1597780000,139,0,4750,37.52034795
2013-05-01,65884009.96,46802,1542820000,116.99,0,3600,53.99561215
2013-05-02,82245200.43,52443,1292190000,105.21,0,3575,36.80599998
2013-05-03,81437491.26,55169,1180070000,97.75,0,3425,54.40791613
2013-05-04,89427914.81,55636,1089890000,112.5,0,3650,48.52677208
2013-05-05,49088469.31,48595,1254760000,115.91,0,3900,43.41969441
2013-05-06,55907226.65,49907,1289470000,112.3,0,3875,38.40895622
2013-05-07,75872779.95,52523,1248470000,111.5,0,4250,51.88924363
2013-05-08,103510706,55899,1219450000,113.57,0,4150,43.22493927
2013-05-09,78666541.7,47555,1259980000,112.67,0,4125,49.5171688
2013-05-10,67742873.57,66750,1255970000,117.2,0,4100,68.83358453
2013-05-11,80930005.85,68957,1311050000,115.24,0,4250,61.03773973
2013-05-12,70109590.48,71712,1288630000,115,0,4475,64.7144603
2013-05-13,56244308.77,67439,1279980000,117.98,0,4375,57.98717092
2013-05-14,63639029.54,60443,1315720000,111.5,0,4375,58.6645122
2013-05-15,76669586.72,65458,1242760000,114.22,0,3850,56.3462306
2013-05-16,78731512.51,65045,1274620000,118.76,0,3575,48.99999252
2013-05-17,77122630.1,61462,1319590000,123.02,0,3650,58.40010175
2013-05-18,81403371.81,60388,1379140000,123.5,0,4050,88.12669735
2013-05-19,72939392.69,48290,1376370000,121.99,0,3425,37.08573213
2013-05-20,53520927.35,50416,1368910000,122,0,4150,44.69975431
2013-05-21,54074450.14,49435,1363940000,122.88,0,3375,48.79896181
2013-05-22,74014574.29,53176,1374130000,123.89,0,3550,45.73742117
2013-05-23,83833099.24,52952,1384780000,126.7,0,4150,50.66091818
2013-05-24,80767726.31,55582,1413300000,133.2,0,4075,53.95741269
2013-05-25,89482238.02,56521,1489950000,131.98,0,4125,43.30824227
2013-05-26,98224137.87,54128,1478030000,133.48,0,4225,55.02510239
2013-05-27,46800917.73,40435,1495520000,129.75,0,4100,31.46608906
2013-05-28,61233958.78,52244,1454310000,129,0,4500,47.29502624
2013-05-29,90406808.12,55119,1446190000,132.3,0,3850,54.58621312
2013-05-30,87681332.17,54862,1483180000,128.8,0,4275,52.00668912
2013-05-31,69988263.69,57928,1445050000,129,0,4375,47.80279122
2013-06-01,84464043,56274,1445800000,129.3,0,4500,47.48303138
2013-06-02,54488189.47,52487,1451930000,122.29,0,5050,39.68031578
2013-06-03,46263259.21,50171,1376180000,122.22,0,5100,49.71934703
2013-06-04,74093167.18,52867,1357020000,121.42,0,5300,45.44642277
2013-06-05,76353201.22,59408,1365110000,121.65,0,5150,64.11903339
2013-06-06,73771490.3,55162,1371300000,118,0,4900,60.92765768
2013-06-07,76885910,55800,1338880000,111.5,0,4550,42.94448631
2013-06-08,70293175.28,54517,1249630000,108.3,0,4100,40.76889109
2013-06-09,35135524.63,45646,1215130000,100,0,4025,44.05412068
2013-06-10,66420402.78,46443,1131570000,106.35,0,4275,38.59999691
