close,high,low,open,vol,utc
8010.33,8015.52,7962.54,7964.46,2501.88,11/20/17 0:00
8002.06,8011.35,7975.77,8010.33,1675.02,11/20/17 1:00
8027.09,8028.05,7977.61,8002.06,2178.4,11/20/17 2:00
8016.63,8034.47,8005.46,8027.09,1848.22,11/20/17 3:00
8052.68,8058.61,8015.66,8016.78,2502.2,11/20/17 4:00
8029.68,8059.89,8023.22,8054.36,1839.98,11/20/17 5:00
8038.3,8039.9,8026.47,8029.77,1450.64,11/20/17 6:00
8059.09,8074.7,8037.02,8038.29,1777.36,11/20/17 7:00
8140.36,8143.06,8058.75,8059.41,4179.06,11/20/17 8:00
8157.28,8177.28,8138.5,8139.85,4423.45,11/20/17 9:00
8250.68,8252.16,8156.25,8156.56,5699.12,11/20/17 10:00
8208.79,8255.93,8182.6,8250.68,4146.84,11/20/17 11:00
8241.91,8243.66,8202.08,8208.57,4504.27,11/20/17 12:00
8252.84,8280.04,8241.63,8242.35,4768.25,11/20/17 13:00
8210.82,8257.24,8190.04,8252.97,4437.67,11/20/17 14:00
8210.98,8245.01,8206.39,8210.74,3219.48,11/20/17 15:00
8244.11,8248.05,8184.74,8210.73,3980.75,11/20/17 16:00
8266.42,8267.22,8222.28,8243.56,3426.52,11/20/17 17:00
8271.13,8281.21,8254.69,8266.42,3392.15,11/20/17 18:00
8244.69,8294.12,8237.77,8271.11,4212.84,11/20/17 19:00
8251.62,8265.33,8226.2,8245.87,3000.83,11/20/17 20:00
8260.98,8273.27,8249.72,8251.56,2098.86,11/20/17 21:00
8095.27,8261.17,8058.1,8260.98,7521.38,11/20/17 22:00
7896.11,8111.4,7819.06,8093.98,15519.68,11/20/17 23:00
7858.72,7999.43,7832.59,7888.37,10424.41,11/21/17 0:00
8086.32,8106.03,7856.48,7858.71,6662.16,11/21/17 1:00
8060.18,8140.85,8059.62,8091.28,3928.7,11/21/17 2:00
8150.71,8168.42,8057.55,8060.18,3232.96,11/21/17 3:00
8193.34,8220.64,8150.14,8150.14,3151.3,11/21/17 4:00
8213.73,8215.33,8167.2,8192.78,2216.37,11/21/17 5:00
8186.81,8214.21,8177.95,8213.73,1846.73,11/21/17 6:00
8204.92,8229.78,8181.85,8186.8,2366.2,11/21/17 7:00
8210.54,8252.57,8204.17,8204.56,2888.39,11/21/17 8:00
8224.56,8249.08,8207.94,8210.47,2380.76,11/21/17 9:00
8338.35,8339.59,8223.26,8224.43,4824.62,11/21/17 10:00
8348.94,8368.36,8313.54,8334.99,4639.83,11/21/17 11:00
8277.05,8350.78,8268.31,8349.32,4409.57,11/21/17 12:00
8292.15,8322.03,8276.64,8277.11,3451.7,11/21/17 13:00
8256.5,8311.48,8251.21,8292.05,2641.75,11/21/17 14:00
8129.85,8277.35,8056.34,8255.65,7732.05,11/21/17 15:00
8199.14,8199.14,8108.93,8129.87,5502.24,11/21/17 16:00
8148.92,8240.95,8146.25,8199.75,3945.25,11/21/17 17:00
