Currency,dtm,open,high,low,close
1ST,1/1/17,0.06,0.06,0.06,0.06
1ST,1/2/17,0.06,0.07,0.05,0.07
1ST,1/3/17,0.07,0.08,0.05,0.06
1ST,1/4/17,0.06,0.06,0.04,0.05
1ST,1/5/17,0.05,0.05,0.04,0.04
1ST,1/6/17,0.04,0.05,0.04,0.04
1ST,1/7/17,0.04,0.05,0.04,0.05
1ST,1/8/17,0.05,0.05,0.04,0.05
1ST,1/9/17,0.05,0.06,0.04,0.05
1ST,1/10/17,0.05,0.06,0.04,0.05
1ST,1/11/17,0.05,0.05,0.04,0.05
1ST,1/12/17,0.05,0.05,0.05,0.05
1ST,1/13/17,0.05,0.05,0.05,0.05
1ST,1/14/17,0.05,0.05,0.05,0.05
1ST,1/15/17,0.05,0.05,0.05,0.05
1ST,1/16/17,0.05,0.05,0.05,0.05
1ST,1/17/17,0.05,0.05,0.05,0.05
1ST,1/18/17,0.05,0.08,0.05,0.08
1ST,1/19/17,0.08,0.08,0.08,0.08
1ST,1/20/17,0.08,0.08,0.08,0.08
1ST,1/21/17,0.08,0.08,0.08,0.08
1ST,1/22/17,0.08,0.08,0.08,0.08
1ST,1/23/17,0.08,0.11,0.08,0.1
1ST,1/24/17,0.1,0.1,0.1,0.1
1ST,1/25/17,0.1,0.11,0.1,0.1
1ST,1/26/17,0.1,0.11,0.1,0.11
1ST,1/27/17,0.11,0.1,0.08,0.09
1ST,1/28/17,0.09,0.11,0.09,0.1
1ST,1/29/17,0.1,0.1,0.09,0.09
1ST,1/30/17,0.09,0.1,0.05,0.09
1ST,1/31/17,0.09,0.09,0.07,0.08
1ST,2/1/17,0.08,0.08,0.07,0.08
1ST,2/2/17,0.08,0.09,0.06,0.08
1ST,2/3/17,0.08,0.09,0.07,0.08
1ST,2/4/17,0.08,0.09,0.07,0.08
1ST,2/5/17,0.08,0.09,0.08,0.08
1ST,2/6/17,0.08,0.08,0.07,0.08
1ST,2/7/17,0.08,0.09,0.08,0.08
1ST,2/8/17,0.08,0.1,0.06,0.08
1ST,2/9/17,0.08,0.08,0.07,0.08
1ST,2/10/17,0.08,0.08,0.07,0.08
1ST,2/11/17,0.08,0.08,0.07,0.07
1ST,2/12/17,0.07,0.08,0.07,0.07
1ST,2/13/17,0.07,0.07,0.06,0.07
1ST,2/14/17,0.07,0.07,0.06,0.06
1ST,2/15/17,0.06,0.07,0.06,0.07
1ST,2/16/17,0.07,0.07,0.07,0.07
1ST,2/17/17,0.07,0.07,0.06,0.07
1ST,2/18/17,0.07,0.07,0.07,0.07
1ST,2/19/17,0.07,0.08,0.07,0.08
1ST,2/20/17,0.08,0.08,0.07,0.07
1ST,2/21/17,0.07,0.07,0.06,0.07
1ST,2/22/17,0.07,0.07,0.07,0.07
1ST,2/23/17,0.07,0.08,0.06,0.07
1ST,2/24/17,0.07,0.07,0.05,0.06
1ST,2/25/17,0.06,0.07,0.06,0.07
1ST,2/26/17,0.07,0.07,0.06,0.06
1ST,2/27/17,0.06,0.07,0.06,0.06
1ST,2/28/17,0.06,0.07,0.06,0.07
1ST,3/1/17,0.07,0.08,0.07,0.07
1ST,3/2/17,0.07,0.08,0.07,0.07
1ST,3/3/17,0.07,0.07,0.06,0.07
1ST,3/4/17,0.07,0.07,0.06,0.07
1ST,3/5/17,0.07,0.08,0.07,0.08
1ST,3/6/17,0.08,0.08,0.06,0.08
1ST,3/7/17,0.08,0.08,0.07,0.07
1ST,3/8/17,0.07,0.1,0.07,0.08
1ST,3/9/17,0.08,0.11,0.05,0.07
1ST,3/10/17,0.07,0.08,0.07,0.07
1ST,3/11/17,0.07,0.08,0.06,0.07
1ST,3/12/17,0.07,0.09,0.07,0.08
1ST,3/13/17,0.08,0.09,0.07,0.09
1ST,3/14/17,0.09,0.1,0.08,0.08
1ST,3/15/17,0.08,0.11,0.07,0.09
1ST,3/16/17,0.09,0.11,0.08,0.09
1ST,3/17/17,0.09,0.1,0.07,0.08
1ST,3/18/17,0.08,0.1,0.05,0.07
1ST,3/19/17,0.07,0.1,0.07,0.1
1ST,3/20/17,0.1,0.11,0.09,0.1
1ST,3/21/17,0.1,0.17,0.09,0.15
1ST,3/22/17,0.15,0.16,0.13,0.14
1ST,3/23/17,0.14,0.16,0.12,0.14
1ST,3/24/17,0.14,0.16,0.12,0.14
1ST,3/25/17,0.14,0.19,0.14,0.18
1ST,3/26/17,0.18,0.26,0.17,0.21
1ST,3/27/17,0.21,0.32,0.2,0.3
1ST,3/28/17,0.3,0.34,0.26,0.3
1ST,3/29/17,0.3,0.4,0.29,0.39
1ST,3/30/17,0.39,0.41,0.3,0.36
1ST,3/31/17,0.36,0.39,0.31,0.36
1ST,4/1/17,0.36,0.38,0.3,0.32
1ST,4/2/17,0.32,0.34,0.24,0.3
1ST,4/3/17,0.3,0.36,0.23,0.28
1ST,4/4/17,0.28,0.34,0.26,0.32
1ST,4/5/17,0.32,0.37,0.3,0.32
1ST,4/6/17,0.32,0.35,0.28,0.29
1ST,4/7/17,0.29,0.35,0.28,0.32
1ST,4/8/17,0.32,0.33,0.26,0.27
1ST,4/9/17,0.27,0.31,0.26,0.28
1ST,4/10/17,0.28,0.35,0.26,0.29
1ST,4/11/17,0.29,0.36,0.28,0.32
1ST,4/12/17,0.32,0.35,0.28,0.33
1ST,4/13/17,0.33,0.34,0.27,0.32
1ST,4/14/17,0.32,0.33,0.2,0.32
1ST,4/15/17,0.32,0.34,0.3,0.31
1ST,4/16/17,0.31,0.33,0.25,0.3
1ST,4/17/17,0.3,0.31,0.23,0.28
1ST,4/18/17,0.28,0.31,0.26,0.3
1ST,4/19/17,0.3,0.34,0.26,0.31
1ST,4/20/17,0.31,0.33,0.27,0.28
1ST,4/21/17,0.28,0.33,0.24,0.26
1ST,4/22/17,0.26,0.29,0.25,0.28
1ST,4/23/17,0.28,0.28,0.24,0.25
1ST,4/24/17,0.25,0.35,0.26,0.29
1ST,4/25/17,0.29,0.33,0.27,0.27
1ST,4/26/17,0.27,0.36,0.27,0.32
1ST,4/27/17,0.32,0.34,0.3,0.31
1ST,4/28/17,0.31,0.34,0.3,0.33
1ST,4/29/17,0.33,0.39,0.28,0.35
1ST,4/30/17,0.35,0.42,0.26,0.35
1ST,5/1/17,0.35,0.38,0.27,0.33
1ST,5/2/17,0.33,0.37,0.32,0.35
1ST,5/3/17,0.35,0.41,0.32,0.35
1ST,5/4/17,0.35,0.44,0.31,0.4
1ST,5/5/17,0.4,0.45,0.38,0.41
1ST,5/6/17,0.41,0.46,0.39,0.42
1ST,5/7/17,0.42,0.49,0.38,0.43
1ST,5/8/17,0.43,0.47,0.34,0.36
1ST,5/9/17,0.36,0.44,0.34,0.39
1ST,5/10/17,0.39,0.45,0.35,0.38
1ST,5/11/17,0.38,0.49,0.34,0.42
1ST,5/12/17,0.42,0.52,0.35,0.4
1ST,5/13/17,0.4,0.44,0.37,0.41
1ST,5/14/17,0.41,0.47,0.35,0.38
1ST,5/15/17,0.38,0.42,0.35,0.37
1ST,5/16/17,0.37,0.43,0.36,0.4
1ST,5/17/17,0.4,0.5,0.39,0.43
1ST,5/18/17,0.43,0.54,0.42,0.52
1ST,5/19/17,0.52,0.55,0.46,0.51
1ST,5/20/17,0.51,0.65,0.46,0.56
1ST,5/21/17,0.56,0.72,0.5,0.62
1ST,5/22/17,0.62,0.73,0.54,0.71
1ST,5/23/17,0.71,1.12,0.65,0.85
1ST,5/24/17,0.85,1.05,0.65,0.71
1ST,5/25/17,0.71,0.83,0.52,0.63
1ST,5/26/17,0.63,0.69,0.42,0.53
1ST,5/27/17,0.53,0.76,0.51,0.58
1ST,5/28/17,0.58,0.72,0.54,0.62
1ST,5/29/17,0.62,0.72,0.58,0.65
1ST,5/30/17,0.65,0.69,0.6,0.66
1ST,5/31/17,0.66,0.73,0.63,0.71
1ST,6/1/17,0.71,0.79,0.7,0.78
1ST,6/2/17,0.78,0.98,0.76,0.88
1ST,6/3/17,0.88,0.93,0.82,0.85
1ST,6/4/17,0.85,0.94,0.79,0.89
1ST,6/5/17,0.89,1.52,0.89,1.15
1ST,6/6/17,1.15,1.2,1.02,1.06
1ST,6/7/17,1.06,1.13,0.94,1.07
1ST,6/8/17,1.07,1.19,1.06,1.11
1ST,6/9/17,1.11,1.25,1.08,1.13
1ST,6/10/17,1.13,1.18,0.93,1.04
1ST,6/11/17,1.04,1.11,0.78,0.94
1ST,6/12/17,0.94,1.08,0.91,0.98
1ST,6/13/17,0.98,1.07,0.81,0.86
1ST,6/14/17,0.86,0.91,0.68,0.88
1ST,6/15/17,0.88,1.01,0.8,0.97
1ST,6/16/17,0.97,1.1,0.88,1.03
1ST,6/17/17,1.03,1.07,0.9,0.94
1ST,6/18/17,0.94,3.34,0.85,2.45
1ST,6/19/17,2.45,2.94,1.62,1.82
1ST,6/20/17,1.82,2.22,1.65,1.9
1ST,6/21/17,1.9,2.08,1.71,1.85
1ST,6/22/17,1.85,2.15,1.79,1.95
1ST,6/23/17,1.95,2.1,1.8,1.86
1ST,6/24/17,1.86,1.92,1.5,1.58
1ST,6/25/17,1.58,1.78,1.06,1.39
1ST,6/26/17,1.39,1.68,1.22,1.63
1ST,6/27/17,1.63,2.01,1.47,1.84
1ST,6/28/17,1.84,1.97,1.68,1.76
1ST,6/29/17,1.76,1.79,1.51,1.54
1ST,6/30/17,1.54,1.58,1.32,1.38
1ST,7/1/17,1.38,1.51,1.03,1.42
1ST,7/2/17,1.42,1.49,1.23,1.46
1ST,7/3/17,1.46,1.51,1.31,1.34
1ST,7/4/17,1.34,1.37,1.17,1.25
1ST,7/5/17,1.25,1.27,1.15,1.21
1ST,7/6/17,1.21,1.21,0.92,0.96
1ST,7/7/17,0.96,1.31,0.68,1.14
1ST,7/8/17,1.14,1.29,1.04,1.09
1ST,7/9/17,1.09,1.1,0.79,0.85
1ST,7/10/17,0.85,0.9,0.68,0.78
1ST,7/11/17,0.78,1.05,0.72,1.04
1ST,7/12/17,1.04,1.18,0.87,1.07
1ST,7/13/17,1.07,1.35,0.91,1.08
1ST,7/14/17,1.08,1.11,0.79,0.87
1ST,7/15/17,0.87,0.94,0.62,0.77
1ST,7/16/17,0.77,0.94,0.72,0.86
1ST,7/17/17,0.86,0.95,0.79,0.92
1ST,7/18/17,0.92,0.95,0.78,0.81
1ST,7/19/17,0.81,1.1,0.73,0.93
1ST,7/20/17,0.93,1.11,0.85,0.99
1ST,7/21/17,0.99,1.14,0.95,1.03
1ST,7/22/17,1.03,1.11,0.91,1.07
1ST,7/23/17,1.07,1.09,0.88,0.93
1ST,7/24/17,0.93,0.97,0.71,0.77
1ST,7/25/17,0.77,0.8,0.66,0.75
1ST,7/26/17,0.75,0.81,0.72,0.76
1ST,7/27/17,0.76,0.8,0.65,0.7
1ST,7/28/17,0.7,0.71,0.61,0.69
1ST,7/29/17,0.69,0.7,0.61,0.66
1ST,7/30/17,0.66,0.76,0.61,0.7
1ST,7/31/17,0.7,0.79,0.61,0.72
1ST,8/1/17,0.72,0.76,0.69,0.72
1ST,8/2/17,0.72,0.85,0.7,0.8
1ST,8/3/17,0.8,0.86,0.75,0.78
1ST,8/4/17,0.78,0.93,0.7,0.86
1ST,8/5/17,0.86,0.88,0.79,0.81
1ST,8/6/17,0.81,0.96,0.77,0.9
1ST,8/7/17,0.9,1.28,0.89,1.08
1ST,8/8/17,1.08,1.13,0.85,0.9
1ST,8/9/17,0.9,0.96,0.83,0.87
1ST,8/10/17,0.87,1.17,0.83,1.02
1ST,8/11/17,1.02,1.33,0.81,0.9
1ST,8/12/17,0.9,1.01,0.71,0.79
1ST,8/13/17,0.79,0.9,0.62,0.74
1ST,8/14/17,0.74,0.84,0.58,0.73
1ST,8/15/17,0.73,0.8,0.63,0.71
1ST,8/16/17,0.71,0.74,0.62,0.67
1ST,8/17/17,0.67,0.98,0.6,0.67
