date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-04-28,39038951.42,8847,73773400,4.35,0,32800,511.0815959
2013-04-29,48283928.5,9408,74952700,4.38,0,31500,634.1211535
2013-04-30,38686089.58,9092,75726800,4.3,0,32450,597.0981972
2013-05-01,33849471.26,9205,73901200,3.8,0,31600,755.4951412
2013-05-02,58715298.55,8927,65242700,3.37,0,31450,689.159821
2013-05-03,13752344.87,8290,58607400,3.04,0,28300,551.3278035
2013-05-04,5113111.918,6517,52476400,3.48,0,19600,388.3949498
2013-05-05,7424500.306,6373,60525000,3.59,0,20950,402.1970132
2013-05-06,5816628.412,5637,62356000,3.37,0,21950,298.218364
2013-05-07,11630724.7,10109,58588300,3.33,0,29200,703.8181778
2013-05-08,10046540.06,9025,57196300,3.41,0,36400,490.6952946
2013-05-09,6803956.799,9215,59337100,3.42,0,38200,494.858837
2013-05-10,9557250.403,12228,59588000,3.44,0,35900,898.9261375
2013-05-11,8165248.909,11038,60658000,3.35,0,38100,747.4054154
2013-05-12,17293347.26,7240,59052900,3.27,0,32900,426.6847906
2013-05-13,8702487.284,6773,57363200,3.28,0,29600,367.2669335
2013-05-14,5842796.562,6577,57812000,2.82,0,29800,350.9353815
2013-05-15,6746049.078,7115,49842500,2.94,0,28900,412.6690893
2013-05-16,7142062.455,6499,51790900,2.92,0,28650,348.4763858
2013-05-17,6856488.161,7281,51195900,3.19,0,28850,450.9996565
2013-05-18,6861026.708,7115,56721100,3.29,0,26250,420.4123677
2013-05-19,5872364.282,5440,58645400,3.3,0,26650,294.4995211
2013-05-20,6139604.887,5905,58962900,3.18,0,28350,296.5864552
2013-05-21,4538637.307,6159,56887600,3.09,0,28250,341.1882587
2013-05-22,6415850.861,6440,55165300,3.12,0,26350,384.8334307
2013-05-23,6276981.766,5306,55727000,3.18,0,27550,273.3178237
2013-05-24,6636114.217,5706,56747200,3.18,0,29900,319.3591362
2013-05-25,7447703.759,6003,57165800,3.12,0,32700,325.9013052
2013-05-26,7501380.24,5376,56123900,3.25,0,32150,317.7995693
2013-05-27,5697906.074,4992,58130800,3.1,0,28400,304.2200595
2013-05-28,5833913.433,4911,55916500,3.09,0,27750,248.305308
2013-05-29,5716634.251,5161,55814300,3.1,0,30550,250.0263141
2013-05-30,4765291.801,5088,55640200,2.97,0,28150,266.0022598
2013-05-31,6197443.723,5264,53813700,2.96,0,30650,287.4394319
2013-06-01,5972142.901,5031,53372200,2.83,0,29500,239.4670462
2013-06-02,5522482.328,4490,51378100,2.73,0,29250,238.4688738
2013-06-03,4621814.669,4273,49688400,2.73,0,28400,209.3701258
2013-06-04,4721694.688,4526,49268800,2.87,0,27300,224.5971812
2013-06-05,5610741.894,4831,52338100,2.86,0,28100,282.2552033
2013-06-06,4858655.62,4470,52595600,2.75,0,29650,261.8443831
2013-06-07,4015845.905,4505,50890900,2.6,0,28500,227.7477927
2013-06-08,6207799.69,4744,47770700,2.56,0,32000,298.8922867
2013-06-09,4377898.883,4512,46911500,2.38,0,34250,251.136824
2013-06-10,4953376.433,5140,43883900,2.49,0,27050,270.1458631
2013-06-11,5682029.983,5390,45951500,2.4,0,29900,300.3357771
2013-06-12,4347352.515,4798,44532400,2.38,0,27050,294.8027739
2013-06-13,4369630.494,4491,44356700,2.27,0,31500,249.7822042
2013-06-14,3775527.161,4722,42035700,2.13,0,31300,253.3041829
2013-06-15,4056063.563,4644,39693000,2.11,0,32750,239.0604097
2013-06-16,4506142.24,3908,38754600,2.13,0,24100,209.8055602
2013-06-17,2873935.918,3361,39791100,2.28,0,23750,183.7434663
2013-06-18,3590297.521,3883,42507000,2.31,0,25950,216.6469153
2013-06-19,3710298.259,4330,43009600,2.3,0,30050,252.5456394
2013-06-20,3893096.7,4824,42968900,2.29,0,34450,272.265139
2013-06-21,3717416.119,4141,43568400,2.87,0,35650,184.1623478
2013-06-22,3667147.655,4549,53719800,2.92,0,30650,157.6834525
2013-06-23,2512934.518,5115,54440600,3.12,0,26150,153.4229286
2013-06-24,3247202.982,4497,58990400,2.87,0,31650,103.6110485
2013-06-25,2495434.982,4452,53693400,2.82,0,30850,109.6247832
2013-06-26,4933948.485,4106,52981700,2.86,0,28400,106.0213948
2013-06-27,5953663.774,4994,54479500,3.02,0,31850,159.7454345
2013-06-28,4518592.539,4669,57524700,2.75,0,31850,126.7792332
2013-06-29,4477225.581,4317,52385700,2.79,0,30600,98.0681091
2013-06-30,4416482.357,3952,52983200,2.98,0,29600,86.42429731
2013-07-01,4332083.194,3617,57266300,2.95,0,28050,85.90080572
2013-07-02,4644240.206,4966,56226500,2.83,0,30750,137.1291064
2013-07-03,3916798.349,5163,54356500,2.62,0,31300,89.96071144
2013-07-04,4008847.133,5553,51159000,2.73,0,31150,97.97588331
2013-07-05,4028819.219,4448,51849500,2.43,0,30850,65.6388301
2013-07-06,3622437.439,3915,46474600,2.52,0,26750,52.35392761
2013-07-07,3819615.644,3726,47204600,2.66,0,25350,75.01735987
2013-07-08,3323531.052,3944,52149300,2.61,0,29150,57.8005268
2013-07-09,3613329.656,4273,49803200,2.61,0,31350,66.513713
2013-07-10,3583845.72,4287,50357000,2.81,0,31200,68.72892465
2013-07-11,4221592.689,4230,54838700,2.73,0,31000,72.48604835
2013-07-12,4400115.701,4669,52706200,2.79,0,28700,82.60802545
2013-07-13,3916502.839,4533,54422000,2.9,0,26350,132.2920147
2013-07-14,3448668.044,3428,56845500,2.91,0,27500,48.90818576
2013-07-15,13378945.11,3638,55861000,2.98,0,26900,69.38059214
2013-07-16,4425032.535,4141,58400000,3.1,0,31500,80.64193798
2013-07-17,4461456.818,4660,59995800,3.15,0,31850,73.36893048
2013-07-18,4210022.928,4354,61435200,2.89,0,31800,55.79079482
2013-07-19,4039863.945,4115,56367600,2.96,0,29100,76.68168019
2013-07-20,4014163.247,3663,58032500,2.86,0,27500,58.10869314
2013-07-21,4499809.244,4401,56298200,2.92,0,26700,89.58567628
2013-07-22,3986628.721,3257,57698700,2.89,0,26150,52.75100881
2013-07-23,3725422.143,3893,56792800,2.99,0,27550,80.61410776
2013-07-24,3367801.667,3754,58868500,2.94,0,29800,70.29045471
2013-07-25,4165660.112,3887,58178300,2.97,0,30400,58.18107022
2013-07-26,3569183.455,3583,58943000,2.9,0,28300,55.10121141
2013-07-27,3621246.774,3501,57328700,2.88,0,29450,38.35048226
