"rank","dtm","ticker","marketcap"
1,"10/7/2017","BTC","71954145405"
2,"10/7/2017","ETH","29082392866"
3,"10/7/2017","XRP","9049679016"
4,"10/7/2017","BCH","6007842810"
5,"10/7/2017","LTC","2753415447"
6,"10/7/2017","DASH","2315482676"
7,"10/7/2017","XEM","1889145000"
8,"10/7/2017","NEO","1692435000"
9,"10/7/2017","MIOTA","1377432366"
10,"10/7/2017","XMR","1366533309"
11,"10/7/2017","ETC","1165822485"
12,"10/7/2017","BCC","972100131"
13,"10/7/2017","OMG","817187240"
14,"10/7/2017","QTUM","683491400"
15,"10/7/2017","LSK","587668462"
16,"10/7/2017","ZEC","583088187"
17,"10/7/2017","ADA","504914142"
18,"10/7/2017","WAVES","497544000"
19,"10/7/2017","USDT","436635000"
20,"10/7/2017","STRAT","381750299"
21,"10/7/2017","XLM","344262267"
22,"10/7/2017","STEEM","290456381"
23,"10/7/2017","ARK","251176001"
24,"10/7/2017","KNC","243985880"
25,"10/7/2017","HSR","239957425"
26,"10/7/2017","BCN","237874083"
27,"10/7/2017","GAS","230763171"
28,"10/7/2017","EOS","227897218"
29,"10/7/2017","REP","218984700"
30,"10/7/2017","PAY","216163283"
31,"10/7/2017","BAT","213928000"
32,"10/7/2017","MAID","202639846"
33,"10/7/2017","ARDR","193616092"
34,"10/7/2017","GNT","190306160"
35,"10/7/2017","PIVX","190270210"
36,"10/7/2017","SALT","188507918"
37,"10/7/2017","WTC","188391815"
38,"10/7/2017","ICN","186444023"
39,"10/7/2017","KMD","185978979"
40,"10/7/2017","TRX","179568287"
41,"10/7/2017","DCR","172251494"
42,"10/7/2017","LINK","156913050"
43,"10/7/2017","BTS","156676884"
44,"10/7/2017","FCT","154466486"
45,"10/7/2017","BNB","153519000"
46,"10/7/2017","MTL","148917205"
47,"10/7/2017","GAME","145752001"
48,"10/7/2017","DGD","145138800"
49,"10/7/2017","GNO","134572200"
50,"10/7/2017","SC","133716861"
51,"10/7/2017","VERI","123857898"
52,"10/7/2017","FRST","116498266"
53,"10/7/2017","DOGE","116417499"
54,"10/7/2017","DGB","115673129"
55,"10/7/2017","GBYTE","113957327"
56,"10/7/2017","BLOCK","113892135"
57,"10/7/2017","CVC","111926480"
58,"10/7/2017","BTCD","111733396"
59,"10/7/2017","PPT","107382484"
60,"10/7/2017","MCAP","102707378"
61,"10/7/2017","FUN","100430000"
62,"10/7/2017","SNGLS","100014600"
63,"10/7/2017","SNT","94453728"
64,"10/7/2017","ZRX","94269500"
65,"10/7/2017","BNT","92446368"
66,"10/7/2017","LKK","92337374"
67,"10/7/2017","AE","90394001"
68,"10/7/2017","BTM","89642597"
69,"10/7/2017","XVG","86139500"
70,"10/7/2017","PURA","84220201"
71,"10/7/2017","VEN","81229434"
72,"10/7/2017","GXS","79417830"
73,"10/7/2017","KIN","78410341"
74,"10/7/2017","SYS","78151771"
75,"10/7/2017","NXS","77330368"
76,"10/7/2017","CTR","77175240"
77,"10/7/2017","NXT","73515207"
78,"10/7/2017","MCO","71529044"
79,"10/7/2017","ADX","66670857"
80,"10/7/2017","ADK","65785206"
81,"10/7/2017","LRC","59264246"
82,"10/7/2017","ANT","56721786"
83,"10/7/2017","UBQ","56092158"
84,"10/7/2017","SNM","54771755"
85,"10/7/2017","VTC","51783457"
86,"10/7/2017","MGO","51573978"
87,"10/7/2017","BDL","51276183"
88,"10/7/2017","IOC","50776475"
89,"10/7/2017","EDG","50439104"
90,"10/7/2017","WINGS","48069134"
91,"10/7/2017","PART","46946368"
92,"10/7/2017","MDA","45293659"
93,"10/7/2017","NAV","44426823"
94,"10/7/2017","BQX","44186173"
95,"10/7/2017","MLN","40960359"
96,"10/7/2017","RLC","40603248"
97,"10/7/2017","STORJ","40243561"
98,"10/7/2017","NLG","39175271"
99,"10/7/2017","CFI","38820275"
100,"10/7/2017","RISE","36416680"
101,"10/7/2017","AEON","36317247"
102,"10/7/2017","DCN","36224429"
103,"10/7/2017","TAAS","36086865"
104,"10/7/2017","FAIR","34893877"
105,"10/7/2017","ATB","34779790"
106,"10/7/2017","REC","34125483"
107,"10/7/2017","MONA","33572428"
108,"10/7/2017","TKN","33291067"
109,"10/7/2017","XZC","32741016"
110,"10/7/2017","SUB","32723346"
111,"10/7/2017","CLOAK","32483807"
112,"10/7/2017","XEL","32385851"
113,"10/7/2017","KICK","32065704"
114,"10/7/2017","TNT","31938526"
115,"10/7/2017","MANA","31551316"
116,"10/7/2017","NLC2","31142879"
117,"10/7/2017","DCT","30733168"
118,"10/7/2017","PPC","30535826"
119,"10/7/2017","1ST","29934735"
120,"10/7/2017","BAY","29680511"
121,"10/7/2017","MTH","29217557"
122,"10/7/2017","XRL","28680700"
123,"10/7/2017","VIB","28671580"
124,"10/7/2017","RDD","28573405"
125,"10/7/2017","NEBL","28490320"
126,"10/7/2017","DNT","27538440"
127,"10/7/2017","STX","27454977"
128,"10/7/2017","VIA","27280834"
129,"10/7/2017","TRST","26540139"
130,"10/7/2017","ETP","26478612"
131,"10/7/2017","QRL","26055588"
132,"10/7/2017","UNO","25314309"
133,"10/7/2017","CDT","24960460"
134,"10/7/2017","XCP","24945930"
135,"10/7/2017","CREDO","24926096"
136,"10/7/2017","EMC","24260013"
137,"10/7/2017","TGT","24174861"
138,"10/7/2017","BMC","24133996"
139,"10/7/2017","CLAM","23889855"
140,"10/7/2017","XAS","23128500"
141,"10/7/2017","SPR","22886438"
142,"10/7/2017","PTOY","22636040"
143,"10/7/2017","ION","22575158"
144,"10/7/2017","DMD","21981019"
145,"10/7/2017","TRIG","21940342"
146,"10/7/2017","CRW","21726466"
147,"10/7/2017","DICE","20889201"
148,"10/7/2017","SAFEX","20677648"
149,"10/7/2017","SIB","20494822"
150,"10/7/2017","XAUR","20391539"
151,"10/7/2017","POE","19875229"
152,"10/7/2017","TCC","19571406"
153,"10/7/2017","ADT","19269120"
154,"10/7/2017","LEO","18655185"
155,"10/7/2017","SKY","18527123"
156,"10/7/2017","NXC","18493467"
157,"10/7/2017","EMC2","18015252"
158,"10/7/2017","NMC","17908263"
159,"10/7/2017","NMR","17878440"
160,"10/7/2017","HMQ","17841516"
161,"10/7/2017","AVT","17800680"
162,"10/7/2017","RVT","17580644"
163,"10/7/2017","DLT","17286052"
164,"10/7/2017","CMP","17261170"
165,"10/7/2017","MSP","17024560"
166,"10/7/2017","MUE","16790511"
167,"10/7/2017","SAN","16682919"
168,"10/7/2017","RBY","16112294"
169,"10/7/2017","VSL","15774772"
170,"10/7/2017","PLBT","15506385"
171,"10/7/2017","XPA","15313900"
172,"10/7/2017","OAX","14908964"
173,"10/7/2017","MYST","14878591"
174,"10/7/2017","ECN","14695937"
175,"10/7/2017","OK","14678622"
176,"10/7/2017","GUP","14659800"
177,"10/7/2017","LUN","14506691"
178,"10/7/2017","SLS","14503930"
179,"10/7/2017","ZEN","14382660"
180,"10/7/2017","XDN","14007640"
181,"10/7/2017","ODN","13979346"
182,"10/7/2017","BURST","13901000"
183,"10/7/2017","KORE","13849081"
184,"10/7/2017","EXP","13816902"
185,"10/7/2017","POT","13642526"
186,"10/7/2017","PLR","13610640"
187,"10/7/2017","IFT","13581945"
188,"10/7/2017","RADS","13537882"
189,"10/7/2017","BLK","13494405"
