rank,name,last_updated,24h_volume_usd,market_cap_usd,pct_change_1h,pct_change_24h,pct_change_7d,price_usd,total_supply,available_supply
1,Bitcoin,1507385356,931917000,72159922174,0.11,-0.84,0.93,4344.69,16608762,16608762
1,Bitcoin,1507385654,931094000,72058940901,-0.08,-0.96,0.79,4338.61,16608762,16608762
1,Bitcoin,1507385956,929620000,72082856352,-0.05,-0.91,0.81,4340.04,16608800,16608800
1,Bitcoin,1507386253,929120000,72032365600,-0.11,-0.98,0.73,4337,16608800,16608800
1,Bitcoin,1507386555,928412000,72007286312,-0.13,-1,0.68,4335.49,16608800,16608800
1,Bitcoin,1507386853,927979000,72101790384,-0.02,-0.86,0.79,4341.18,16608800,16608800
1,Bitcoin,1507387156,926524000,72066356028,-0.09,-0.9,0.72,4339.04,16608825,16608825
1,Bitcoin,1507387456,924706000,72144583594,0.01,-0.78,0.82,4343.75,16608825,16608825
1,Bitcoin,1507387754,921956000,72007892964,-0.18,-0.97,0.62,4335.52,16608825,16608825
1,Bitcoin,1507388054,920863000,71997595493,-0.24,-0.98,0.6,4334.9,16608825,16608825
1,Bitcoin,1507388356,918644000,71930323904,-0.31,-1.06,0.49,4330.84,16608862,16608862
2,Ethereum,1507385364,399316000,29191053216,-0.09,2.09,2.18,307.29,94994511,94994511
2,Ethereum,1507385650,399578000,29207582261,-0.05,2.14,2.23,307.46,94994511,94994511
2,Ethereum,1507385950,399448000,29219611406,0,2.2,2.26,307.59,94994705,94994705
2,Ethereum,1507386248,399360000,29227590961,0.03,2.23,2.29,307.67,94994705,94994705
2,Ethereum,1507386565,399845000,29229680845,0.05,2.26,2.27,307.69,94994705,94994705
2,Ethereum,1507386849,401663000,29297602059,0.29,2.5,2.51,308.41,94994705,94994705
2,Ethereum,1507387150,401964000,29325211589,0.4,2.61,2.59,308.7,94994903,94994903
2,Ethereum,1507387450,401558000,29323501680,0.41,2.6,2.58,308.68,94994903,94994903
2,Ethereum,1507387763,402081000,29335281048,0.46,2.64,2.61,308.8,94994903,94994903
2,Ethereum,1507388050,403344000,29365584423,0.57,2.75,2.71,309.12,94994903,94994903
2,Ethereum,1507388367,402369000,29363367042,0.57,2.74,2.69,309.1,94995105,94995105
3,Ripple,1507385641,105884000,9074998742,0.02,-1.82,18.61,0.23,99993307218,38597142499
3,Ripple,1507385940,104644000,9060254633,-0.15,-1.98,18.42,0.23,99993307218,38597142499
3,Ripple,1507386241,103322000,9057128265,-0.2,-2.08,18.37,0.23,99993307218,38597142499
3,Ripple,1507386541,102542000,9053924702,-0.21,-2.14,18.33,0.23,99993307218,38597142499
3,Ripple,1507386841,102196000,9055468587,-0.19,-2.16,18.34,0.23,99993307218,38597142499
3,Ripple,1507387141,101855000,9053538730,-0.24,-2.21,18.31,0.23,99993307218,38597142499
3,Ripple,1507387441,101893000,9054696645,-0.25,-2.22,18.32,0.23,99993307218,38597142499
3,Ripple,1507387741,101846000,9056665099,-0.22,-2.22,18.34,0.23,99993307218,38597142499
3,Ripple,1507388041,101745000,9049138656,-0.29,-2.36,18.23,0.23,99993307218,38597142499
3,Ripple,1507388341,100998000,9049177253,-0.29,-2.35,18.23,0.23,99993307218,38597142499
4,Bitcoin Cash,1507385361,112515000,6006744892,-0.12,-2.02,-18.16,360.21,16675675,16675675
4,Bitcoin Cash,1507385662,112465000,6007445270,-0.13,-2.01,-18.15,360.25,16675675,16675675
4,Bitcoin Cash,1507385963,111734000,6003993405,-0.19,-2.06,-18.19,360.04,16675675,16675675
4,Bitcoin Cash,1507386261,111391000,6005761027,-0.15,-2.02,-18.16,360.15,16675675,16675675
4,Bitcoin Cash,1507386560,111213000,5998957352,-0.24,-2.13,-18.25,359.74,16675675,16675675
4,Bitcoin Cash,1507386862,111065000,6006077865,-0.05,-2,-18.15,360.17,16675675,16675675
4,Bitcoin Cash,1507387162,110622000,6009655469,0,-1.95,-18.1,360.38,16675700,16675700
4,Bitcoin Cash,1507387462,109909000,5996498342,-0.22,-2.17,-18.27,359.59,16675700,16675700
4,Bitcoin Cash,1507387761,108229000,6001000781,-0.14,-2.1,-18.21,359.86,16675700,16675700
4,Bitcoin Cash,1507388061,107169000,5995397745,-0.22,-2.2,-18.28,359.52,16675700,16675700
4,Bitcoin Cash,1507388362,106537000,5993326760,-0.26,-2.27,-18.31,359.4,16675738,16675738
