date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
1/20/14,18177.28599,1621,66178,0.202121,14602,38050,2.966
1/21/14,39013.91476,2593,193581,0.179607,13404,59650,1.538
1/22/14,49487.70369,2531,281910,0.241453,21147,60350,12.4904763
1/23/14,122572.9394,2213,321975,0.444479,50128,37900,2.4234844
1/24/14,94338.1607,2891,499373,0.379007,26869,52350,2.86500001
1/25/14,94058.46697,3418,453116,0.344466,19322,45200,5.31
1/26/14,61508.60876,3797,411888,0.32534,12561,52100,3.43725139
1/27/14,40300.1851,1903,400787,0.336943,16763,26600,1.26431204
1/28/14,58036.39255,1225,445996,0.381758,15008,17650,10.926
1/29/14,36336.31377,1204,483140,0.317349,7749,19100,0.91832416
1/30/14,25394.16015,1319,417532,0.339007,4260,21650,0.7511
1/31/14,38403.14931,1367,441643,0.332375,10074,25550,0.93661326
2/1/14,49888.62845,1531,447682,0.416954,31268,32300,0.83101
2/2/14,95074.5106,1382,579702,0.76076,80009,27850,0.94851
2/3/14,392056.2531,1756,999739,1.64,175201,32550,1.57873661
2/4/14,1170550.682,2181,2329270,4.54,1000060,34850,1.92804751
2/5/14,4030566.062,5123,7094260,5.4,1480360,34700,5.44728594
2/6/14,9117410.066,10727,8571370,5.38,817727,34850,31.68100424
2/7/14,2666881.388,9151,7585800,4.78,441589,29700,7.93671931
2/8/14,1728214.591,7935,7468430,3.45,332129,26250,6.2743874
2/9/14,1814722.437,8137,5467450,4.3,493625,26600,7.54908747
2/10/14,1384706.141,8124,6672920,3.68,395001,26850,6.89337839
2/11/14,1266851.429,8069,6054540,3.47,264439,30450,6.21621412
2/12/14,1071966.188,7808,5837000,3.19,391122,29800,6.37066445
2/13/14,950890.4208,7325,5438560,2.73,233428,29150,5.97667981
2/14/14,888727.2785,6754,4713830,2.42,308127,26950,4.97787688
2/15/14,797375.0143,6512,4291820,2.45,219887,25100,5.27896337
2/16/14,554322.9142,6473,4395970,1.91,186464,28050,4.88504563
2/17/14,530893.4986,6886,3500100,1.64,196586,30550,5.81806735
2/18/14,436036.6905,6563,3012790,1.42,189928,28200,5.64993819
2/19/14,1191735.057,6092,2671470,3.02,951079,26600,6.20098744
2/20/14,685435.9562,7381,5620120,1.89,560787,32750,12.03344236
2/21/14,900440.0435,7575,3822190,1.95,157513,31350,7.34476359
2/22/14,699135.547,6991,3900760,2.02,134519,29850,6.55997531
2/23/14,502439.873,6512,4054050,1.82,127817,28250,6.1416833
2/24/14,355442.2629,6591,3692000,1.55,133245,28700,6.07836718
2/25/14,414045.5895,6076,3127630,1.62,115446,27250,5.80845676
2/26/14,444972.7338,6041,3402400,1.89,163095,28300,5.92096024
2/27/14,447369.1913,6413,3990420,1.82,49930,29650,5.75940685
2/28/14,430062.3213,6716,3888370,1.74,109025,30600,6.62593772
3/1/14,478297.4096,6604,3777500,1.69,88108,29700,6.78541853
3/2/14,524281.1555,6692,3748940,1.61,100550,30050,6.93796382
3/3/14,640673.0565,6843,3611060,1.86,151606,30800,6.02703036
3/4/14,638412.3426,7025,4171450,1.78,184159,29350,6.28776825
3/5/14,506261.9058,6940,4121550,1.67,113278,29600,7.70154634
3/6/14,423429.1739,6287,3895220,1.59,105465,28400,6.32158482
3/7/14,396558.5714,5636,3724650,1.41,93317,25900,5.3583952
3/8/14,355203.5066,5797,3361910,1.4,74305,28650,5.84775966
3/9/14,345143.212,5704,3360190,1.56,120261,29250,5.64452626
3/10/14,350641.5544,6232,3794630,1.39,73429,30800,6.62687027
3/11/14,297618.6141,6211,3435420,1.32,68568,29200,6.03182929
3/12/14,274864.1297,6092,3287310,1.29,61456,29650,7.06518635
3/13/14,299431.7955,6140,3273820,1.23,54713,27900,6.02035227
3/14/14,237871.6803,5370,3127260,1.06,83218,26050,5.4064664
3/15/14,253116.7467,6150,2725290,0.989275,95533,29450,6.48722151
3/16/14,202276.3045,5267,2577970,0.822178,60646,25050,5.50132905
3/17/14,188070.8657,5425,2117850,0.85715,72735,28900,5.48390054
3/18/14,187942.276,5106,2279740,0.842015,40410,28000,5.88486223
3/19/14,217002.0983,5943,2263150,1.09,149663,29750,6.33083694
3/20/14,310978.6954,5349,2966710,1.25,347802,29650,6.01473703
3/21/14,458052.876,6494,3437780,1.42,244183,29100,8.33081537
3/22/14,548654.436,6362,3933590,1.82,883171,30900,11.3665816
3/23/14,1078720.075,8114,5130120,1.83,380274,33900,10.81882235
3/24/14,650920.0546,7743,5220160,1.74,350786,29350,21.97085652
3/25/14,625554.0502,6900,5007860,1.5,131556,27050,12.51862324
3/26/14,1901702.754,6033,4331390,1.64,204301,26700,5.50387504
3/27/14,584248.9865,6625,4766190,1.28,130975,30050,7.0134563
3/28/14,879671.4109,5896,3819280,1.35,101948,27600,5.76328076
3/29/14,554983.8679,5889,4075220,1.32,87739,29850,5.45778723
3/30/14,304856.6374,6028,3987320,1.22,64636,30150,5.74318909
3/31/14,283599.9603,5552,3658130,1.17,62646,27900,7.45170849
4/1/14,236406.0118,5616,3578450,1.15,85078,29500,6.3883293
4/2/14,218912.4363,5275,3576470,1.01,50743,28800,5.54677158
4/3/14,225685.522,5215,3151900,1.02,52279,27250,6.17210494
4/4/14,210810.6292,5316,3224700,0.979866,38587,28950,5.00548637
4/5/14,150385.2706,4612,3115140,0.952404,24558,26650,4.45884423
4/6/14,143558.8328,4666,3068240,0.894274,58541,27500,4.5164963
4/7/14,172475.2424,5035,2893700,0.879337,33294,29000,6.28550748
4/8/14,233582.5018,5224,2868510,0.903311,31718,31250,7.58485304
4/9/14,225256.3315,4933,2981390,1.1,187731,27500,5.90765984
4/10/14,215560.5858,5446,3645550,0.814256,50220,29950,9.38127029
4/11/14,208179.9594,5338,2727850,0.966543,33456,30250,5.86730184
4/12/14,186317.1311,4984,3275880,0.989773,40415,29550,5.56486483
4/13/14,198533.5763,4557,3384210,0.967856,64455,27150,4.8839795
4/14/14,178314.9027,4385,3339700,1.03,73780,28100,6.11619623
4/15/14,214238.9291,4613,3586200,1.12,60497,28000,5.89410286
4/16/14,275772.5562,4936,3903660,1.11,54176,27950,6.76163909
4/17/14,207117.8452,4777,3933930,1.02,42891,27450,5.3529448
4/18/14,208864.7952,4632,3626770,0.981362,50506,27500,4.94211108
4/19/14,231687.2942,4996,3516050,1.04,25933,27350,6.37332598
4/20/14,202583.6305,4882,3742090,0.992592,32466,27900,4.87466446
4/21/14,170009.7763,4449,3607630,0.956513,33725,26150,4.31036046
4/22/14,191797.8953,4860,3504960,0.926847,43217,28450,5.17552075
4/23/14,183063.5691,4564,3427340,0.936083,30753,29450,5.86272405
4/24/14,240091.8612,4618,3485350,0.963032,47036,30800,5.10976945
4/25/14,235607.9822,4311,3614380,0.915975,90282,29550,4.85217754
4/26/14,289330.0751,4334,3499020,0.9231,32301,29250,4.67847222
4/27/14,147554.6752,4027,3510580,0.856888,28422,28200,4.7254101
4/28/14,158848.7068,4285,3261090,0.837159,28818,31950,5.72683482
4/29/14,160165.1722,4344,3233490,0.859236,31387,28200,4.24405275
4/30/14,166617.0046,4211,3350060,0.882842,22698,28200,6.63000692
5/1/14,186451.0716,4136,3470850,0.899082,37880,30250,5.82294691
5/2/14,154065.8121,4043,3561860,0.859599,15664,29900,6.48451978
5/3/14,138528.666,4119,3430280,0.80856,26485,29800,20.47792097
5/4/14,128891.6682,4044,3253940,0.827808,34945,27600,5.43583401
5/5/14,134743.7975,4515,3340210,0.784263,23596,29950,6.38190334
5/6/14,132688.0956,4420,3195360,0.766558,27251,29000,6.06194005
5/7/14,115280.0549,4513,3149810,0.801184,37997,28050,6.34114045
5/8/14,119104.3917,4457,3308270,0.791996,27263,28100,6.56630346
5/9/14,132390.8178,4630,3293210,0.857688,110545,27899.99997,6.69254485
5/10/14,267072.8435,4952,3594490,0.944855,123347,29199.99999,8.91576826
5/11/14,258814.874,4714,3984370,0.924908,110433,30799.99995,9.97491953
5/12/14,250059.0795,4123,3924930,0.935311,83941,26999.99995,5.86415275
5/13/14,286227.9729,4236,4002780,1.05,165809,30299.99996,7.76136917
5/14/14,313930.837,4038,4526870,1.16,332095,29849.99995,11.60125446
5/15/14,510488.3835,4494,5026590,1.27,83256,29549.99993,11.86567911
5/16/14,320405.1222,4499,5590830,1.03,207969,31499.99898,8.54716808
5/17/14,252726.0386,4083,4543640,1.03,88607,28449.9996,6.02278264
5/18/14,198653.5797,3597,4574890,1,36977,29699.99991,4.63298824
5/19/14,132744.3759,3215,4455220,0.975305,51195,26849.99993,4.53999145
5/20/14,182238.5292,3219,4329890,1,93382,27349.99991,4.28795867
5/21/14,170026.7867,3276,4538280,1.01,62204,30299.99993,7.95707156
5/22/14,145272.3155,3058,4605040,0.924555,105506,28849.99996,5.57046115
5/23/14,219318.9771,3235,4236460,1.07,160258,28349.99996,9.86373651
5/24/14,241379.9641,3058,4899200,1.05,125083,27099.99988,6.32724222
5/25/14,196990.8247,3207,4868360,1.04,75563,29449.99998,4.45234044
5/26/14,134952.5792,2692,4874300,1.04,82867,26849.99996,3.91656671
5/27/14,161063.8249,3034,4860230,1.01,22488,27249.99998,7.11827884
5/28/14,142001.9386,2942,4805380,0.99215,137690,28299.99994,4.08468207
5/29/14,158897.7304,2770,4671600,0.958581,52996,31449.99999,3.93673309
5/30/14,161769.4282,2810,4571880,1.01,59379,28500,5.06355449
5/31/14,147362.3631,2657,4818390,0.916443,75451,27050,3.97716769
6/1/14,194593.5648,2719,4424330,0.896019,52805,27950,4.32663233
6/2/14,129514.4802,2994,4345480,0.95328,51013,29700,5.09999972
6/3/14,125634.1962,3014,4653570,0.873267,50523,29800,4.9221979
6/4/14,175679.2499,2872,4284820,0.857409,55342,29050,5.78297839
6/5/14,119894.3374,2668,4233200,0.806428,17778,28950,4.58515091
6/6/14,208732.2794,2937,4020770,0.802616,69258,29400,3.58130682
6/7/14,145355.8215,2374,4009650,0.804795,13925,25600,4.02043576
6/8/14,93841.68175,2333,4019560,0.756615,44106,28700,3.00797111
6/9/14,134598.6461,2225,3820330,0.707001,57562,27600,6.01736253
6/10/14,200030.7157,2497,3599100,0.788202,86279,29250,3.57715755
6/11/14,190026.5182,2377,4027860,0.85461,184486,28150,5.35106576
6/12/14,166077.2546,2543,4395660,0.769371,58920,29350,6.63446126
6/13/14,104700.1905,2240,3969750,0.762557,38273,31000,4.64481166
6/14/14,78690.46586,2380,3966910,0.717523,28613,27200,3.00923443
6/15/14,215422.708,1989,3741660,0.720847,14618,28000,2.08069889
6/16/14,97973.92569,5805,3751550,0.686738,37299,30500,2.68744679
6/17/14,85369.32276,4032,3625020,0.718347,18994,27800,3.13975791
6/18/14,166493.6771,6596,3784940,0.675581,37652,30150,2.71763827
6/19/14,107470.3332,2214,3608070,0.645588,19624,25950,6.53271911
6/20/14,126029.8997,2093,3481750,0.658851,45862,28700,4.36803851
6/21/14,71932.5448,2168,3554180,0.623775,31914,29100,2.97975496
6/22/14,66903.99697,2140,3388850,0.51524,26381,28150,9.52670489
6/23/14,146078.0984,2303,2836690,0.613882,33874,27200,4.01444176
6/24/14,122409.4738,2314,3364680,0.527693,35927,27850,4.2673619
6/25/14,69019.84357,2287,2906190,0.539026,35174,31250,4.74055105
6/26/14,221597.0288,1965,2968640,0.495799,58492,27950,3.67114739
6/27/14,101617.8173,2088,2783900,0.502385,51039,27300,3.79494959
6/28/14,80884.55767,2655,2775230,0.472616,18426,29650,7.55333045
6/29/14,56070.89498,1805,2645390,0.433184,21675,26100,3.38358994
6/30/14,49474.29778,2117,2397950,0.314478,78695,28650,4.58831242
7/1/14,157598.3145,2563,1798560,0.513374,531142,29150,5.93101075
7/2/14,438976.6481,2907,2953660,0.492646,307957,28950,8.48449118
7/3/14,208266.4085,2373,2807760,0.455559,130375,28850,8.09285364
7/4/14,77243.10184,2003,2625990,0.40277,48680,30650,4.05380303
7/5/14,58279.29835,2005,2374170,0.358869,59631,28700,2.66569294
